indice,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH,y,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,CantCoincidencia
375,-0.5531963669946629,0.0290205347083428,-0.2014941768703087,0.0428757013349011,0.391367754047787,0,0,0,0,0,0,0,6
556,0.7801841397190649,-0.754730725937922,0.7814797339420102,-0.922853640474504,-0.2705944396139211,0,0,0,0,0,0,0,6
1137,0.2087353511274671,-0.0659796180972649,2.509611286821732,-2.4383058383908014,-1.1608194586762182,1,0,0,0,0,0,0,0
1046,0.4349338299449746,-1.585982062986991,-1.3588666847622326,-0.7742798955807495,-1.1151668935961003,0,0,0,0,0,0,0,6
52,-0.4936704515163714,0.3377710313265684,0.2107206889542121,-0.2691291629419836,0.8022408397688473,0,0,0,0,0,0,0,6
991,0.3039768158927335,-0.6834806113337161,-2.024752237247997,-0.3731307843676118,-2.279307303139104,0,0,0,0,0,0,0,6
769,0.7682789566234066,-0.4697302675210985,-0.0429499977070315,0.4885969360161651,0.0033209508667857,0,0,0,0,0,0,0,6
1080,0.661132308762482,-1.609732101188393,1.3522387789298085,0.2805936931649087,2.696822290593736,0,0,0,0,0,0,0,6
1069,0.4230286468493163,-1.1822314135631575,0.0838853456235902,-0.0462685456013516,0.9163722524691416,0,0,0,0,0,0,0,6
645,0.6373219425711654,-0.042229579895863,0.4009737039501448,-0.5217045292613665,0.391367754047787,0,0,0,0,0,0,0,6
784,1.1849603649714464,-0.73098068773652,-0.8039620576907623,0.4737395615267897,0.4826728842080227,0,0,0,0,0,0,0,6
836,1.208770731162763,-0.6122304967295102,0.4643913756154558,0.6817428043780462,-0.978209198355747,0,0,0,0,0,0,0,6
1038,0.6373219425711654,0.694021604347598,0.7497708981093547,1.1126066645699346,1.2359402080299666,0,0,0,0,0,0,0,6
252,-0.2198512403162309,0.2190208403195586,0.1790118531215566,-0.2691291629419836,0.6652831445284938,0,0,0,0,0,0,0,6
840,1.0301929847278888,-0.4459802293196964,0.8766062414399767,0.7857444258036744,-1.5945188269373374,0,0,0,0,0,0,0,6
1056,1.887366167615285,4.280277372759295,0.3534104502011617,3.1926390930825,-0.1564630269136266,0,0,0,0,0,0,0,6
70,-0.517480817707688,0.1477707257153527,-0.185639758953981,0.0428757013349011,0.5054991667480816,0,0,0,0,0,0,0,6
528,-0.0650838600726732,-0.1134796945000689,-0.4076016097825692,0.2211641952074067,0.2315837762673747,0,0,0,0,0,0,0,6
792,0.5063649285189242,0.0290205347083428,-0.3758927739499137,0.3845953145905369,-0.29342072215398,0,0,0,0,0,0,0,6
670,0.7920893228147232,0.3140209931251664,0.2265751068705398,-0.3434160353888609,0.7109357096086116,0,0,0,0,0,0,0,6
1123,3.946962843164168,5.30152901541958,6.901285049644511,7.501277695001385,-3.671710538082698,0,0,0,0,0,0,0,6
774,1.113529266397497,-0.3984801529168925,-0.1222220872886701,0.4143100635692878,-0.0195053316732731,0,0,0,0,0,0,0,6
839,0.3039768158927335,-0.3984801529168925,1.1302769281012202,0.8897460472293026,-1.9140867824981616,0,0,0,0,0,0,0,6
660,0.7206582242407734,0.1477707257153527,0.0046132560419516,-0.1502701670269798,0.5283254492881405,0,0,0,0,0,0,0,6
580,0.1730198018404924,-0.018479541694461,0.3534104502011617,-0.4771324057932401,0.414194036587846,0,0,0,0,0,0,0,6
771,1.92308171690226,-0.4934803057225004,-0.7405443860254514,0.3697379401011614,0.391367754047787,0,0,0,0,0,0,0,6
317,-0.1722305079335978,0.0527705729097448,0.0680309277072626,-0.1948422904951062,0.4598466016679637,0,0,0,0,0,0,0,6
304,-0.3746186205597885,0.3140209931251664,0.2424295247868676,-0.31370128641011,0.8022408397688473,0,0,0,0,0,0,0,6
864,-1.065119240107969,0.2665209167223626,0.385119286033817,0.1617346972499049,-1.3206034364566306,0,0,0,0,0,0,0,6
1079,-0.1246097755509647,-0.9684810697505396,-0.5820002068621741,-0.2394144139632327,-0.042331614213332,0,0,0,0,0,0,0,6
18,-0.3269978881771554,0.1715207639167546,-0.4234560276988969,0.2657363186755332,0.5054991667480816,0,0,0,0,0,0,0,6
454,-0.3150927050814971,-0.3984801529168925,-0.4393104456152246,0.2360215696967822,-0.042331614213332,0,0,0,0,0,0,0,6
736,0.6849426749537986,0.0527705729097448,-0.4393104456152246,0.3994526890799123,-0.3390732872340978,0,0,0,0,0,0,0,6
993,0.2563560835101003,-0.73098068773652,-2.0564610730806527,-0.4028455333463628,-2.3249598682192225,0,0,0,0,0,0,0,6
250,-0.4222393529424217,0.2902709549237645,-0.1380765052049978,0.0131609523561502,0.6652831445284938,0,0,0,0,0,0,0,6
472,-1.1603607048732352,-0.0897296562986669,-0.3917471918662414,0.2063068207180313,0.2544100588074336,0,0,0,0,0,0,0,6
410,-1.0770244232036272,0.1715207639167546,-0.0905132514560146,-0.0314111711119761,0.5511517318281994,0,0,0,0,0,0,0,6
681,0.74446859043209,-0.3984801529168925,0.5912267189460775,-0.729707772112623,0.0717997984869624,0,0,0,0,0,0,0,6
892,-0.0888942262639898,-1.1584813753617555,0.7180620622766992,1.0977492900805592,-1.0466880459759238,0,0,0,0,0,0,0,6
459,0.1849249849361507,-0.3272300383126866,-0.5978546247785019,0.3845953145905369,0.0033209508667857,0,0,0,0,0,0,0,6
694,0.196830168031809,-0.4697302675210985,0.797334151858338,-0.922853640474504,0.0261472334068446,0,0,0,0,0,0,0,6
167,-1.4937058315516671,0.1477707257153527,-0.3441839381172583,0.1914494462286558,0.4826728842080227,0,0,0,0,0,0,0,6
378,-0.4936704515163714,0.2427708785209606,-0.3283295202009305,0.1914494462286558,0.5739780143682583,0,0,0,0,0,0,0,6
5,-1.0532140570123103,-0.2559799237084807,-0.3917471918662414,0.1914494462286558,0.0946260810270213,0,0,0,0,0,0,0,6
690,-0.0769890431683315,0.0765206111111468,0.6704988085277163,-0.7742798955807495,0.5511517318281994,0,0,0,0,0,0,0,6
715,1.208770731162763,0.1240206875139507,-0.2807662664519473,0.4737395615267897,-0.29342072215398,0,0,0,0,0,0,0,6
1110,-0.8389207612904616,0.9790220627644216,-4.323642835115518,-3.32974830775333,-2.279307303139104,0,0,0,0,0,0,0,6
383,-1.0413088739166525,0.4090211459307744,-0.185639758953981,0.0725904503136521,0.7565882746887295,0,0,0,0,0,0,0,6
823,-0.2079460572205726,-0.2797299619098827,1.5742006297583966,1.0383197921230574,-2.507570128539694,0,0,0,0,0,0,0,6
